id,question,answer,exam,section
226,How will data normally be stored in Azure table storage?,"Denormalised, with each row holding the entire data for a logical entity.",azure-dp-900,simple
227,Describe how a table might hold customer info?,"It might store the forename, lastname , or or more telephone numbers, and one or more addresses for each customer. The number of fields can be differetn for each row.",azure-dp-900,simple
228,How can Azure table storage provide much faster access vs a relational database?,"faster access to the details of a customer because the data is available in a single row, without requiring that you perform joins across relationships",azure-dp-900,simple
229,"To help ensure fast access, what does Azure Table storage do?",splits a table into partitions,azure-dp-900,simple
230,"In Azure Table Storage, what is partitioning?","Mechanism for grouping related row, based on a common property or partition key",azure-dp-900,simple
231,How are rows that share th same partition key stored?,Stored together,azure-dp-900,simple
232,As well as partitioning helping you to organise data what else does it do?,Improves scalability and performance.,azure-dp-900,simple
233,"Since partitions are independent from each other, what else does this mean?","Can grow or shrink as rows are added to, or removed from a partition",azure-dp-900,simple
234,What 2 elements does the key in Azure Table Storage table comprise?,"Partion key that identifies the partition containing the row ,and a row key that is unique to each row in the same partition.",azure-dp-900,simple
235,How are items in the same partition stored?,In row key order,azure-dp-900,simple
236,When an app adds a new row to a table for Azure Tale storage what is ensured?,The row is placed in the correct positition in the table,azure-dp-900,simple
237,Since row is placed in the correct position in the a table what 2 things does this allow?,Enables an app to quickly perform Point queries that identify a single row and Range Queries that fetch a contiguous block or rows in a partition,azure-dp-900,simple
238,How does a point query work?,"When an anpp retrieves a single row, the part key enables Az to quickly home in on the correct partition, and the row key lets Az identify the row in that partiion. Therefore data retrieval can be very quick",azure-dp-900,simple
239,What does a range query work in Azure table?,"App searches for a set of rows in a partition, specifying the start and end point of the set as row keys. This can be very quick as long as you have designed your row keys according to the requirments of the queries performed by your app",azure-dp-900,simple
240,What is the max size for a column in Azure table?,"numeric, string or binary data up to 64kb",azure-dp-900,simple
241,"Since Azure Table Storage tables are schemaless, what does the mean?",Easy to adapat your data as the needs of your apps evolve,azure-dp-900,simple
242,What type of flexible datasets does Azure table storage allow?,"Web apps, address books, device info, or other types of metadata.",azure-dp-900,simple
243,What are the 5 primary advantagesof using Azure Tables Storage table over other ways of storing data?,"It's simpler to scale. It takes the same time to insert data in an empty table, or a table with billions of entries. An Azure storage account can hold up to 500 TB of data., A table can hold unstructured and semi-structured data, There's no need to map and maintain the complex relationships typically required by a normalized relational database., Row insertion is fast, Data retrieval is fast, if you specify the partition and row keys as query criteria",azure-dp-900,simple
244,What are the disadvantages to storing data in Azure Table Storage tables?,"Consistency needs to be given consideration as transactional updates across multiple entities aren't guaranteed, There's no referential integrity; any relationships between rows need to be maintained externally to the table, It's difficult to filter and sort on non-key data. Queries that search based on non-key fields could result in full table scans,",azure-dp-900,simple
245,What 3 things is Azure Table Storage an excellent mechanism for?,"-Storing TBs of structure data capable of serving web scale apps -Storing datasets that don't require complex joins, foreign keys or stored procedures that can be denormalized for fast access. - Capturing event logging and perf monitoring data",azure-dp-900,simple
246,What is an example of s toring TBs of structured data capable of serving web scale applications for Azure Table Storage?,"Examples include product catalogs for eCommerce applications, and customer information, where the data can be quickly identified and ordered by a composite key. In the case of a product catalog, the partition key could be the product category (such as footwear), and the row key identifies the specific product in that category (such as climbing boots).",azure-dp-900,simple
247,"In an IoT system, what might you use Azure Table Storage to capture?","Capture device sensor data. Each device could have its own partition, and the data could be ordered by the data and time each measurement was captured.",azure-dp-900,simple
248,Why is Event log and perf info store for Azure Table Storage?,used for Capturing event logging and perf data. It is typically contain data that is structured according to the performance measuire being recorded.,azure-dp-900,simple
249,How much data is Azure tended to support?,"Very large volumes, up to several hundred TBs in size.",azure-dp-900,simple
250,"As you add rows to a table, how does Azure Table Storage manage it?",It automatically manages the partitions in a table allocates storage as necessary. you don't need to take any additional steps,azure-dp-900,simple
251,What kind of HA is provided in a single region for Azure Table Storage?,Guarantees HA in a single region with the data for each table replicated 3 times within an Azure region,azure-dp-900,simple
252,Can you increase availability in Azure Table Storage?,"Yes, tables can be created in geo-redundant storage but at a cost.",azure-dp-900,simple
253,How many more times is the data replicated in geo-redundant storage for Azure Table Storage?,A further 3 times,azure-dp-900,simple
255,What type of service is Azure Blob storage?,"Stores massives amounts of unstructured data, or blobs in the cloud.",azure-dp-900,simple
256,What are the 3 types of blobs that Azure blobs storage supports?,-Block blobs -Page blobs -Append blobs,azure-dp-900,simple
257,Describe blob blocks,"-A block blob is handled as a set of blocks. -Each block can vary in size, up to 100 MB. -A block blob can contain up to 50,000 blocks, giving a maximum size of over 4.7 TB.",azure-dp-900,simple
258,What are blob blocks best used to store?,"discrete, large, binary objects that change infrequently",azure-dp-900,simple
259,Describe Page Blocks,- A page blob is organized as a collection of fixed size 512-byte pages. - A page blob is optimized to support random read and write operations; - You can fetch and store data for a single page if necessary,azure-dp-900,simple
260,How much can a page blob hold?,Up to 8TB,azure-dp-900,simple
261,What does a Azure use page blobs to implement?,Virtual disk storage for virtual machines,azure-dp-900,simple
262,What is a an Append blob?,"-An append blob is a block blob optimized to support append operations. -You can only add blocks to the end of an append blob; updating or deleting existing blocks isn't supported. Each block can vary in size, up to 4 MB",azure-dp-900,simple
263,What is the maximum size of an append blob?,just over 195GB,azure-dp-900,simple
264,"Inside an Azure storage account, where do you create blobs?",Inside containers,azure-dp-900,simple
265,What does a container provide?,"A convenient way of grouping related blobs together, and you can organize blobs in a hierarchy of folders, similar to files in a file system on disk. You control who can read and write blobs inside a container at the container level. <font color=""#171717"">3-1-3</font>",azure-dp-900,simple
267,What are the 3 tiers of Blob storage?,-Hot -Cool -Archive,azure-dp-900,simple
268,Describe the Hot tier?,The Hot tier is the default. You use this tier for blobs that are accessed frequently. The blob data is stored on high-performance media.,azure-dp-900,simple
269,What is the cool tier?,"This tier has lower performance and incurs reduced storage charges compared to the Hot tier. Use the Cool tier for data that is accessed infrequently. It's common for newly created blobs to be accessed frequently initially, but less so as time passes. In these situations, you can create the blob in the Hot tier, but migrate it to the Cool tier later. You can migrate a blob form the Cool tier back to the Hot tier.",azure-dp-900,simple
270,Describe the Archive tier.,"The Archive tier. This tier provides the lowest storage cost, but with increased latency. The Archive tier is intended for historical data that mustn't be lost, but is required only rarely. Blobs in the Archive tier are effectively stored in an offline state. Typical reading latency for the Hot and Cool tiers is a few milliseconds, but for the Archive tier, it can take hours for the data to become available.",azure-dp-900,simple
271,How do you retrieve a blob from the Archive tier?,you must change the access tier to Hot or Cool. The blob will then be rehydrated . You can read the blob only when the rehydration process is complete.,azure-dp-900,simple
272,What can a lifecycle management policy do?,"automatically move a blob from Hot to Cool, and then to the Archive tier, as it ages and is used less frequently (policy is based on the number of days since modification). A lifecycle management policy can also arrange to delete outdated blobs.",azure-dp-900,simple
273,Whare the 5 common uses for Azure Block Storage?,"Serving images or documents directly to a browser, in the form of a static website. Visit <a href=""https://docs.microsoft.com/en-us/azure/storage/blobs/storage-blob-static-website"">Static website hosting in Azure storage</a> for detailed information., Storing files for distributed access, Streaming video and audio, Storing data for backup and restore, disaster recovery, and archiving, Storing data for analysis by an on-premises or Azure-hosted service,",azure-dp-900,simple
274,What is Azure storage used as the basis for?,Azure Data Lake storage,azure-dp-900,simple
275,What can you use Azure Data Lake storage to perform?,big data analytics,azure-dp-900,simple
276,What are the 4 other features of Azure Blob storage?,-Versioning -Soft delete -Snapshots -Change Feed,azure-dp-900,simple
277,Describe the Versioning feature of Azure Blob storage.,You can maintain and restore earlier versions of a blob,azure-dp-900,simple
278,What can you do with the Soft delete feature of Azure Blob storage?,"Enables you to recover a blob that has been removed or overwritten, by accident or otherwise",azure-dp-900,simple
279,What does the Snapshot feature of Azure Blob storage provide?,A snapshot is a read-only version of a blob at a particular point in time.,azure-dp-900,simple
280,What does the Change Feed feature of Azure Blob Storage provide?,"The change feed for a blob provides an ordered, read-only, record of the updates made to a blob. You can use the change feed to monitor these changes",azure-dp-900,simple
281,Create and view a blob block using the Azure portal - example,Work through,azure-dp-900,simple
282,What does Azure File storage enable you to do?,"Create shares in the cloud, and access these file shares from anywhere with and internet connection",azure-dp-900,simple
283,How does Azure File storage file shares?,Using the SMB 3.0 protocol.,azure-dp-900,simple
284,What are the limits for Azure File Storage?,100TB in a single account Max file is 1 TiB 2000 concurrent connections per shared file,azure-dp-900,simple
285,What are the 2 performance tiers for Azure File Storage?,"Standard tier uses hard disk-based hardware Premium tier uses solid-state disks. Premium offers greater throughput, but is charged at a higher rate.",azure-dp-900,simple
286,4 Use cases for Azure File Storage,1. Migrate existing apps to the cloud 2. Share server data across on-premises and cloud 3. Integrate modern apps with Azure File Storage 4. Simplify hosting HA workload data,azure-dp-900,simple
287,How does Migrating existing apps to the cloud work?,Azure File Storage enables you to migrate your on-premises file or file share-based apps to azure without having to provision or manage highly available file server virtual machines,azure-dp-900,simple
288,How does Ingrating modern apps with Azure File storage work?,"Leveraging the modern REST API that Azure File Storage implements in addition to SMB 3.0, you can integrate legacy apps with modern cloud apps, or develop new file or file share-based Apss",azure-dp-900,simple
289,How dopes Azure File Storage simplify hosting HA workload data?,"Persistant handles enabled in SMB 3.0 increase availability of the file sahre, which makes it possible to host apps such as SQL Server and IIS in Azure with data stored in shared file storage.",azure-dp-900,simple
290,What is the throughput for Azure.?,"300 MB/Sec, but you can increase capacity by creating a premiums file share.",azure-dp-900,simple
292,How does Cosmos DB manage data?,Partitioned set of documents,azure-dp-900,simple
293,What is a document a collection of?,Fields identified by a key,azure-dp-900,simple
294,What must data can a document hold?,"Up to 2 MB of data, including small binary objects.",azure-dp-900,simple
295,Whso should you do if you need to store objects larger than 2 mb?,use Azure Blob Storage.,azure-dp-900,simple
296,What are the 5 APIs that Cosmos DB supports?,-SQL API -Table API -MongoDB API -Cassandra API -Gremlin API,azure-dp-900,simple
297,Describe the SQL API supported by Cosmos DB,"Provides a SQL-like query language over documents , enable to identify and retrieve documents using SELECT statements",azure-dp-900,simple
298,What does the Table API work enable you to do?,Use the Azure Table Storage API to store and retrieve doc. The purpose of this interface is to enable you to switch from Table Storage to Cosmos DB without requiring that you modify your existing apps.,azure-dp-900,simple
299,How can you use MongoDB API?,"Enable the app to run unchanged against a Cosmos DB. You can migrate the data in the MongoDB DB to Cosmos DB running in the cloud, but continue to run your existing apps to access the data.",azure-dp-900,simple
300,Descriibe the Cassandra API?,It is a column family dbms. This API for Cosmos DB provides a programmatic interface for Cosmos DB. The primary purpose of the Cassandra API is to enable you to quickly migrate Cassandra DBs and apps to Cosmos DB.,azure-dp-900,simple
301,What does the Gremlin API implement?,A graph database interface to Cosmos DB,azure-dp-900,simple
302,What is a graph a collection of?,Data objects and directed relationships,azure-dp-900,simple
303,What does the Gremlin API enable you to do?,"Data is still held as a set of docs in Cosmos DB, but the Gremlin API enables you to perform graph queries over the data.",azure-dp-900,simple
304,How are documents in Cosmos DB organised?,Into containers,azure-dp-900,simple
305,What does a partition hold?,A set of docs that share a common partition key,azure-dp-900,simple
306,How should you select a partition key and why?,Select on that collects all related docs together. This approach helps to reduce the amount of I/O that queries might need to perfrom when retrieving a set of docs for a given entity,azure-dp-900,simple
307,Give an example of how you would configure a value in a document database for an ecommerce system.,"Customers and the orders they've place, you couild partition the data by customer ID, and store the customer and order details for each customer in the same partition. To find all the info and orders for a customer, you simply need to query that single partition:",azure-dp-900,simple
309,"Although there is a superficial similarity betwe a Cosmos DB container and a table in Azure Table storage; in both cases, dat is partitioned and documents (rows in a table) are identified by a unique ID withing a partition, where does the similarity change","Unlike Azure Table storage, docs in a Cosmos DB partition aren't sorted by ID, Comos DB maintains a separate index. This index also tracks the value of every other field in each document. this index is created and maintained automatically.",azure-dp-900,simple
310,What do the indexes in Cosmos DB enable?,"perforom queries that specify criterial referencing any fields in a container, without incurring the need to scan the entire partition to find that data.",azure-dp-900,simple
311,What level of HA does Cosmos DB give?,99.99%,azure-dp-900,simple
312,What latency does Cosmos DB guarantee?,less than 10-ms latency for both reads (indexed) and writes at the 99th percentile.,azure-dp-900,simple
313,What are the 4 suitable scenarios for Cosmos DB?,-IoT and telematics -Retail and Marketing -Gaming -Web and mobile Apps,azure-dp-900,simple
314,Describe IoT and telematics,Typically ingest large amounts of data in frequent bursts of activity. Cosmos DB can accept an dstore the info very quickly,azure-dp-900,simple
315,What does Retail and Marketing scenario detail?,Uses Cosmos DB for its own e-commerce platforms that run as part of Windows Store and XBox Live.,azure-dp-900,simple
316,What does the Gaming Scenario give.?,DB tiers is crucial component of gaming apps.,azure-dp-900,simple
317,Describe Web and Mobile Pass scenario.,"Azure Cosmos DB is commonly used for these and is well suited for modeling social interations, integrating with third-party services, and for building rich personalized experiences.",azure-dp-900,simple
318,What is provisioning?,"Act of running series of tasks that a service provider, such as Azure Cosmos DB, performs to create and configure a service",azure-dp-900,simple
321,Azure CLI to create a cosmos db,az cosmosdb create \ --subscription &lt;your-subscription&gt; \ --resource-group &lt;resource-group-name&gt; \ --name &lt;cosmosdb-account-name&gt; \ --locations regionName=eastus failoverPriority=0 \ --locations regionName=westus failoverPriority=1 \ --enable-multiple-write-locations,azure-dp-900,simple
322,Powershell to create cosmosdb.,"## Azure PowerShell New-AzCosmosDBAccount ` -ResourceGroupName ""&lt;resource-group-name&gt;"" ` -Name ""&lt;cosmosbd-account-name&gt;"" ` -Location @(""West US"", ""East US"") ` -EnableMultipleWriteLocations",azure-dp-900,simple
323,How are resources allocated for Azure Cosmos DB.?,"Resources are allocated in terms of the storage space required to hold your databases and containers, and the processing power required to store and retrieve data.",azure-dp-900,simple
324,What does Azure Cosmos DB use to manage the perf and cost of DBs.?,Request Units per Second This measure abstracts the underlying physical resources that need to be provisioned to support the required perf.,azure-dp-900,simple
325,What does MS giva a measure of approximately 1 RU?,resources required to read a 1-KB document with 10 fields. So a throughput of one RU per second (RU/s) will support an application that reads a single 1-KB document each second.,azure-dp-900,simple
326,What happens if you specify throughput for a database?,"all the containers in that database share that throughput. If you specify throughput for a container, the container gets that throughput all to itself.",azure-dp-900,simple
327,What happens if you underprovision (by specifying too few RU/s).?,"Cosmos DB will start throttling performance. Once throttling begins, requests will be asked to retry later when hopefully there are available resources to satisfy it. If an application makes too many attempts to retry a throttled request, the request could be aborted. The minimum throughput you can allocate to a database or container is 400 RU/s. You can increase and decrease the RU/s for a container at any time. Allocating more RU/s increases the cost. However, once you allocate throughput to a database or container, you'll be charged for the resources provisioned, whether you use them or not.",azure-dp-900,simple
329,Azure CLI to create DB and container.,"## Azure CLI - create a database 
 az cosmosdb sql database create \
 --account-name &lt;cosmos-db-account-name&gt; \
 --name &lt;database-name&gt; \
 --resource-group &lt;resource-group-name&gt; \
 --subscription &lt;your-subscription&gt; \
 --throughput &lt;number-of-RU/s&gt; 
 ## Azure CLI - create a container 
 az cosmosdb sql container create \
 --account-name &lt;cosmos-db-account-name&gt; \
 --database-name &lt;database-name&gt; \
 --name &lt;container-name&gt; \
 --resource-group &lt;resource-group-name&gt; \
 --partition-key-path &lt;key-field-in-documents&gt;",azure-dp-900,simple
330,What are the 2 performance settings for storage accounts?,Standard - hard disks Premiums - using solid state. used for DBs,azure-dp-900,simple
331,What type of account is Data Lake storage available with?,"standard storage account, not premium",azure-dp-900,simple
332,What are the 5 Azure Storage Account kinds?,-General-purpose v2 -General-purpose v1 -BlockBlobStorage -FileStorage -BlobStorage,azure-dp-900,simple
333,What is the General-purpose v2 account use.?,"blobs, files, queues, and tables and is recommended for most scenarios that require Azure Storage",azure-dp-900,simple
334,What is the General-purpose v1 account used for?,"Legacy account used for blobs, files, queues and tables. Use G-P v2 accounts when possible",azure-dp-900,simple
335,What is the BlockBlobStorage account used for?,"Only available for premium accounts. Use for block blobs and append blobs. Recommended for high transaction rates, or that use smaller objects, or require consistently low storage latency",azure-dp-900,simple
336,File storage account,Only available for premium accounts. use it to create files-only storage accounts with premium perf characteristics.,azure-dp-900,simple
337,BlobStorage account,Legacy account type that can only hold blobs. Use general-purpose v2 account when possible.,azure-dp-900,simple
338,What are the 3 types of replication for Data in an Azure Storage account?,-LRS -GRS -RA-GRS,azure-dp-900,simple
339,What is RA-GRS?,"Extension of GRS that provides direct read-only access to the data in the secondary location. In contrast, the GRS option doesn't expose the data in the secondary location, and it's only use dto recover from a failure in the primary location.",azure-dp-900,simple
340,What does RA-GRS replication enable you to store?,"A read-only copy of the data close to the users that are located in a geographically distant location, helping to reduce read latency.",azure-dp-900,simple
341,"To maintain performance, what is the only sort of replication that premium storage accounts support?",LRS,azure-dp-900,simple
342,Why is LRS replication the only supported option for premium storage accounts?,Replication is done synchronously to maintain data integrity. Replicating data to a distant region can increase latency to the point at which any advantages of using premium storage are lost.,azure-dp-900,simple
343,What are the 2 access tiers?,-Hot -Cool,azure-dp-900,simple
344,How long is data intended for in the cool tier?,30 days,azure-dp-900,simple
345,Give examples of the usage in the cool tier.,-Short-term backup and DR datasets -Older media content not viewed frequently anymore but is expect to be available immediately when accessed -Large data set that need to be store cost effectively while more data is being gathered for future processsing,azure-dp-900,simple
346,What is ZRS and what does it do?,Zone Redundant Storage which replicates your data synchronously acress three Azure availability zones in the primary region.,azure-dp-900,simple
347,Describe each availability zone in ZRS.,"Separate physical location with independent power, cooling, and networking.",azure-dp-900,simple
349,What is the Azure CLI command to create new storage that supports Data Lake Storage.?,"az storage account create \
 --name &lt;storage-account-name&gt; \
 --resource-group &lt;resource-group&gt; \
 --location &lt;your-location&gt; \
 --sku &lt;sku&gt; \
 --kind &lt;kind&gt; \
 --access-tier &lt;tier&gt; \
 --enable-hierarchical-namespace true",azure-dp-900,simple
350,Azure Powershell to create a new storage account.,"New-AzStorageAccount `
 -Name ""&lt;storage-account-name&gt;"" `
 -ResourceGroupName ""&lt;resource-group-name&gt;"" `
 -Location ""&lt;your-location&gt;"" `
 -SkuName ""&lt;sku&gt;"" `
 -Kind ""&lt;kind&gt;"" `
 -AccessTier ""&lt;tier&gt;"" `
 -EnableHierarchicalNamespace $True",azure-dp-900,simple
351,What are Blobs store in?,containers,azure-dp-900,simple
352,What is Azure CLI to create a new blob container.?,"az storage container create \
 --name &lt;container-name&gt; \
 --account-name &lt;storage-account-name&gt; \
 --public-access &lt;access&gt;",azure-dp-900,simple
353,User Azure Powershell to add a container.,"Get-AzStorageAccount `
 -ResourceGroupName ""&lt;resource-group&gt;"" `
 -Name ""&lt;storage-account-name&gt;"" | New-AzStorageContainer `
 -Name ""&lt;container-name&gt;"" `
 -Permission &lt;permission&gt;",azure-dp-900,simple
355,Use Azure CLI to create a file share,"az storage share create \
 --name &lt;share-name&gt; \
 --account-name &lt;storage-account-name&gt;",azure-dp-900,simple
356,User Azure Powershell to create a new file share,"Get-AzStorageAccount `
 -ResourceGroupName ""&lt;resource-group&gt;"" `
 -Name ""&lt;storage-account-name&gt;"" | New-AzStorageShare `
 -Name ""&lt;share-name&gt;""",azure-dp-900,simple
357,What is the default connectivity for Azure Cosmos DB and Azure Storage?,enable access to the world at large,azure-dp-900,simple
358,What is Azure Virtual Network a representation of?,Your own network in the cloud.,azure-dp-900,simple
359,What does a virtual network enable you to connect?,Virtual machines and Azure services together in much the same way you might use a physical network,azure-dp-900,simple
360,How can you limit or restrict connectivity to virtual networks?,Use the Firewalls and Virtual networks page for the service,azure-dp-900,simple
361,What is an Azure Private Endpoint ?,A network interfact that connects you privately security to a service powered by Azure Private Link.,azure-dp-900,simple
362,What does the Private endpoint connections page for a service do?,"Specify which private endpoints, if any are permitted access to your service?",azure-dp-900,simple
363,What can be used to connect to a service?,An access key,azure-dp-900,simple
364,What are access keys used to do?,authenticate your apps when making requests to this Azure storage account.,azure-dp-900,simple
365,What is the better alternative to access keys?,Azure Active Directory,azure-dp-900,simple
366,How do you add role assignments to a resource in Azure portal.?,Use the Access control (IAM) page.,azure-dp-900,simple
367,What does Advanced security threat protection add and this is free?,Adds security intelligence and identifies potential security vulnerabilities and recommends actions to mitigate them. There is an extra cost,azure-dp-900,simple
368,When you replicate Azure Cosmos DB do you specify another region?,The next region is automatically selected.,azure-dp-900,simple
369,Can you enable multi-region writes in Azure Cosmos DB?,"By default it is disabled, however it can cause conflicts",azure-dp-900,simple
370,What is the conflict mechanism is multi-region writes is enabled in Cosmos DB?,"The most recent write will overwrite changes made earlier when data is replicated, you can write your own code to apply a different strategy",azure-dp-900,simple
371,What type of replication is used in Cosmos DB.?,Asynchronous,azure-dp-900,simple
372,What are the 5 types of consistency available in Cosmos DB?,-Eventual -Consistent Prefix -Session -Bounded Staleness -Strong,azure-dp-900,simple
373,how does eventual consistency work?,"This option is the least consistent. It's based on the situation just described. Changes won't be lost, they'll appear eventually , but they might not appear immediately. Additionally, if an application makes several changes, some of those changes might be immediately visible, but others might be delayed; changes could appear out of order.",azure-dp-900,simple
374,How does Consistent Prefix consistency work?,"This option ensures that changes will appear in order, although there may be a delay before they become visible. In this period, applications may see old data.",azure-dp-900,simple
375,How does Session consistency work in Cosmos DB?,"If an application makes a number of changes, they'll all be visible to that application, and in order. Other applications may see old data, although any changes will appear in order, as they did for the Consistent Prefix option. This form of consistency is sometimes known as read your own writes .",azure-dp-900,simple
376,How does Bounded Staleness consistency work?,"There's a lag between writing and then reading the updated data. You specify this staleness either as a period of time, or number of previous versions the data will be inconsistent for.",azure-dp-900,simple
377,How does Strong consistency in Cosmos DB work?,"In this case, all writes are only visible to clients after the changes are confirmed as written successfully to all replicas. This option is unavailable if you need to distribute your data across multiple global regions.",azure-dp-900,simple
378,How can you change the default consistency for a Cosmos DB?,using the Default consistency page in the Azure portal,azure-dp-900,simple
379,What can applications do in re: tothe default consistency?,"Override the default consistency level for individual read operations, but they can't increase the consistency above that specified on this page; they can only decrease it.",azure-dp-900,simple
380,What type of encryption keys can you use in Azure storage?,Microsoft-managed keys Customer-managed keys,azure-dp-900,simple
381,What can you used Shared Access Signatures (SAS) to do?,"Grant limited rights to resrouces in an Azure storage account for a specified time period. This feature enables applications to access resources such as blobs and files, without requiring that they're authenticated first",azure-dp-900,simple
382,What type of data should you use Shared Access Signatures (SAS) for?,data that you intend to make publie,azure-dp-900,simple
383,What is an SAS token and how does it work?,a token that an application can use to connect to the resource. The application appends the token to the URL of the resource. The application can then send requests to read or write data using this URL and token.,azure-dp-900,simple
384,What kind of level can you create a token to grant?,"grants temporary access to the entire service, containers in the service, or individual objects such as blobs and files.",azure-dp-900,simple
385,What can you use the Shared access signature page in the Azure portal to do?,"Generate SAS tokens. You specify the permissions (you could provide read-only access to a blob, for example), the period for which the SAS token is valid, and the IP address range of computers allowed to use the SAS token.",azure-dp-900,simple
386,How is the SAS token encrypted?,using one of the access keys; you specify which key to use (key1 or key2).,azure-dp-900,simple
389,What is Cosmos DB compatible with?,existing NoSQL systems including MongoDB and Cassandra.,azure-dp-900,simple
390,How are the fields in a document enclosed between?,Braces { } Each field is prefixed with its name,azure-dp-900,simple
392,How are documents in Cosmos DB organized?,Into containers,azure-dp-900,simple
393,How are documents in a container?,Grouped together into partitions. You designate one of the fields in your documents as the partition key.,azure-dp-900,simple
394,What does the approach of partitioning help to reduce?,The amount of disk read operations that queries use when retrieving a set of documents for a given entity.,azure-dp-900,simple
395,how would you partition a document database for a an ecommerce systems recording the details of customers and orders they've placed.?,"You could partition the data by customer ID, and store the customer an dorder details for each customer in the same partition.",azure-dp-900,simple
397,What is the purpose of the Table API interface.?,Enable you to switch Table Storage to Cosmos DB without requiring that you modify your existing apps.,azure-dp-900,simple
398,What are the 5 operations for uploading data to a Cosmos DB Database?,- Data Explorer - Cosmos DB Data Migration Tool - Azure Data Factory - Create a custom app that imports data using the Cosmos DB BulkExecutor library - Create a custom app using Cosmos DB SQL API client library,azure-dp-900,simple
399,"If you have to configure Cosmos DB to support Bulk Loading, what should you use and why?",The Data Migration Tool which make use of multiple concurrent threads to batch your data into chunks and load the chunks in parallel. Each thread acts as a separate client connection to the database.,azure-dp-900,simple
400,During an upload if you have insufficient throughput capacity what error can you get?,HTTP 429 error (Request rate is large),azure-dp-900,simple
401,If you are planning on performing a large data import what should you do?,Increase the throughput resources available to the rage Cosmos container.,azure-dp-900,simple
402,What does the SQL API for Cosmos return the results in the form of?,Form of JSON documents,azure-dp-900,simple
403,What is Azure Blob storage a suitable repository for?,"Holding large binary objects, such as images, video, and audio files.",azure-dp-900,simple
404,What are the 3 different types of blobs that Azure Supports?,Block Blobs Page Blobs Append Blobs,azure-dp-900,simple
405,What do you typically use page blobs to implement and why?,Virtual disk storage for Azure Virtual machines. They're optimized to support random read and write operations.,azure-dp-900,simple
406,What are Append blobs suitable for storing?,"Data that grows in chunks, such as logs or other archive data.",azure-dp-900,simple
407,What are Blob blocks best for storing and give an example?,"Static data, eg holding the image data held by contoso.",azure-dp-900,simple
408,"In an Azure storage account, how do you store blobs?",In containers,azure-dp-900,simple
409,What does a container provide a convenient was of grouping?,"related blobs together, and you can organise blobs in a hierarchy of folders inside a container, similar to files in a file system on a disk.",azure-dp-900,simple
411,What is the Azure CLI to create a container?,az storage container create \ --name images \ --account-name contosodata \ --resource-group contoso-group \ --public-access blob,azure-dp-900,simple
412,Azure Powershell to create a container,"Get-AzStorageAccount ` -ResourceGroupName ""contoso-group"" ` -Name ""contosodata"" | New-AzStorageContainer ` -Name ""images"" ` -Permission Blob",azure-dp-900,simple
413,"Once you have created a container, what can you do?",Upload Blobs,azure-dp-900,simple
414,Azure CLI to upload a blob.,"az storage blob upload \ --container-name images \ --account-name contosodata \ --file ""\data\racer_black_large.gif"" \ --name ""bikes\racer_black""",azure-dp-900,simple
415,Azure powershell to upload a blob,"Get-AzStorageAccount ` -ResourceGroupName ""contoso-group"" ` -Name ""contosodata"" | Set-AzStorageBlobContent ` -Container ""images"" ` -File ""\data\racer_black_large.gif"" ` -Blob ""bikes\racer_black""",azure-dp-900,simple
416,Azure CLI to list a blob,"az storage blob list \ --account-name contosodata \ --container-name ""images""",azure-dp-900,simple
417,Azure powersehll to view the blobs in a container,"Get-AzStorageAccount `
 -ResourceGroupName ""contoso-group"" `
 -Name ""contosodata"" | Get-AzStorageBlob `
 -Container ""images""",azure-dp-900,simple
418,What are the 2 commands in Azure CLI to download blobs?,"<a href=""https://docs.microsoft.com/en-us/cli/azure/storage/blob?view=azure-cli-latest#az-storage-blob-download""><code>az storage blob download</code></a> <code><a href=""https://docs.microsoft.com/en-us/cli/azure/storage/blob?view=azure-cli-latest#az-storage-blob-download-batch"">az storage blob download-batch</a></code>",azure-dp-900,simple
419,Azure CLI for downloading a file,"az storage blob download \ --container-name images \ --account-name contosodata \ --file ""racer_black_large.gif"" \ --name ""bikes\racer_black""",azure-dp-900,simple
420,"If you enable the soft delete option for blob containers, what does this mean?",The blob is hidden rather than removed.,azure-dp-900,simple
421,How can you do with the Data protection page under the Blob service?,Enable or disable soft delete in the Azure Portal.,azure-dp-900,simple
422,"If you remove an Azure Storage container, what automatically happens.?",it audomatically delets all blobs held in that container.,azure-dp-900,simple
423,What is the Azure CLI to delete a container?,"az storage container delete \ --account-name contosodata \ --name ""images""",azure-dp-900,simple
424,Deleting a container using Azure Powershell?,"Get-AzStorageAccount ` -ResourceGroupName ""contoso-group"" ` - Name ""contosodata"" | Remove-AzStorageContainer `
 -Name ""images"" ` -Confirm",azure-dp-900,simple
425,What can you use Azure File storage to do?,Store shared files. Users can connect to a shared folder (also known as a file share) and read and write files (if they have the appropriate privs) in much the same way bas they would use a folder on a local machine.,azure-dp-900,simple
426,What two graphical tools can you use to create and manage files share in Azure Storage?,Azure Portal Azure Storage Explorer,azure-dp-900,simple
427,"If you need to transfer a significant number of files in and out of Azure File storage, what should you use?",The AzCopy utility as it is optimized for transferring large files (and blobs),azure-dp-900,simple
428,What can AzCopy do in re: to failures?,it can detect them and restart a failed transfer at the point an error occurred - you don't have to repeat the entire operation.,azure-dp-900,simple
429,Before you can use AzCopy what do you need to generate?,A Shared access signature (SAS) token,azure-dp-900,simple
